"logit_1_0";"Cattle";"Prot_area";"Powerlines";"Railroads";"WAI";"WGI";"WUI";"Machinery";"FAPU";"Tracks";"Change_pop"
1;914;0;0;0;245478;0;0;2,15000009536743;0;0;-0,136999994516373
1;479,5;0;0;0;312331;175815;7384;9,72999954223633;0;0;0,0880000069737434
1;7253;329707,40625;7153,75;0;0;643859;0;3,73000001907349;46458;225905,296875;-0,19200000166893
1;6393;1e+06;0;0;0;44237;0;3,16000008583069;0;0;-0,0390000008046627
1;2816;0;0;0;0;0;0;7,84000015258789;589204;0;-0,0160000007599592
1;29;1e+06;0;0;0;0;137204;1,58000004291534;0;0;0,889999985694885
1;827,5;0;0;0;353911;0;0;2,08999991416931;0;59734,640625;0,236000001430511
1;203;0;0;0;0;0;0;0,479999989271164;0;366742,8125;0
1;370;0;0;0;298046;0;0;3,65000009536743;0;0;0,11599999666214
1;17787;0;0;0;0;61991;0;6,26999998092651;0;0;-0,19200000166893
1;8258;0;0;0;0;69357;0;2,50999999046326;1e+06;0;-0,0650000125169754
1;714;0;0;0;0;0;0;0,490000009536743;0;0;0,0540000014007092
1;17787;423019,09375;0;0;0;320554;0;6,26999998092651;0;401194,5;-0,116999998688698
1;28;424415,5;0;0;432692;0;0;2,82999992370605;0;0;0,0820000022649765
1;117,333297729492;0;0;0;467400;0;0;16,8400001525879;0;0;0,0880000069737434
1;4338;0;103627,203125;0;289543;128170;0;14,4200000762939;0;0;0,0719999969005585
1;4138;0;1169,83801269531;0;227353;220656;381;3,04999995231628;0;165876,59375;-0,0540000014007092
1;2068;0;109110,203125;0;252721;0;0;2,65000009536743;0;61509,609375;0,0860000029206276
1;1;883696,625;0;0;557690;140668;0;5,21000003814697;575906;476767,90625;0,312000006437302
1;8;0;0;0;468626;0;0;4,82999992370605;0;0;0,155000001192093
1;0,666666686534882;0;0;0;345478;0;0;1,76999998092651;0;348193,1875;0,0410000011324883
1;466;0;0;0;252749;0;0;2,22000002861023;0;0;0,119000002741814
1;2428;1e+06;0;0;223731;0;0;0,850000023841858;0;0;0,0770000070333481
1;7479;0;0;0;0;0;0;2,69000005722046;170181;0;0,00600000005215406
1;4103,5;0;0;0;388227;0;0;7,30999994277954;0;356050,90625;-0,0390000008046627
1;16764;0;0;0;342097;251467;0;2,49000000953674;0;0;0,209999993443489
1;1034;816142,875;0;0;0;5355;0;0,970000028610229;299157;0;-0,0469999983906746
1;1213;1e+06;0;0;263429;159475;0;0,939999997615814;0;0;0,0130000002682209
1;3017;0;0;0;533345;486384;0;6,92000007629395;0;124003;-0,0140000004321337
1;3217;0;0;0;519932;0;0;1,91999995708466;0;0;0,116999998688698
1;3172;0;127464,5;611174,8125;96348;229419;0;6,69000005722046;0;24554,349609375;0,063000001013279
1;451;0;0;0;247245;0;0;1,5;0;0;0,122000001370907
1;14101;0;0;0;213646;42401;0;0,159999996423721;0;0;0,0640000030398369
1;4146;0;0;0;357515;0;0;2,65000009536743;0;0;0,0240000002086163
1;670,5;40213,30078125;0;0;0;472315;0;0,319999992847443;226;197575,203125;-0,0549999997019768
1;78;149571;0;0;348541;0;0;2,92000007629395;0;0;0,294999986886978
1;120,333297729492;0;0;0;441377;0;0;1,22000002861023;0;0;0,0659999996423721
1;390;0;86760,5625;343237,3125;471254;0;0;1,36000001430511;0;20074,279296875;0,165000006556511
1;597;0;0;0;326485;0;0;0,319999992847443;0;14982,7998046875;0,0240000002086163
1;57;0;0;0;334230;0;0;1,55999994277954;0;0;0,0790000036358833
1;714;0;0;0;28785;0;77;0,490000009536743;0;0;0,0540000014007092
1;22;0;0;280073,3125;286629;0;0;2,22000002861023;0;114570,8984375;0,156000003218651
1;204;0;0;0;0;0;0;0,270000010728836;60871;0;-0,0860000029206276
1;499;0;0;0;270015;10131;36;3,57999992370605;0;0;0,0810000002384186
1;7322,5;14083,150390625;101344,8984375;0;304026;0;0;20,3099994659424;0;0;0,0419999994337559
1;205;0;108225,296875;0;341835;0;0;4,67999982833862;0;0;0,0520000010728836
1;217,5;0;0;0;379521;19164;0;4,73999977111816;0;0;0,108999997377396
1;362;1e+06;0;0;387003;182661;0;1,30999994277954;0;0;-0,017000000923872
1;85,5;0;0;464072,09375;279827;124682;106178;1,97000002861023;0;0;0,150999993085861
1;2283;0;0;0;401606;0;0;8,35000038146973;0;0;0,137999996542931
1;22069;0;0;0;276055;0;0;17,6399993896484;0;317951,59375;-0,00300000002607703
1;155;903369,6875;0;0;231069;0;0;0,990000009536743;377395;330469,1875;0,0489999987185001
1;480;52706,2890625;0;0;0;610860;0;0,330000013113022;0;0;-0,0209999997168779
1;355;0;84272,890625;64372,640625;155699;0;28;0,150000005960464;0;0;0,131999999284744
1;4237;28316,349609375;0;0;0;0;0;6,30999994277954;0;254272,5;-0,0610000006854534
1;361;0;0;0;279078;0;0;0,930000007152557;0;0;0,0399999991059303
1;210,5;445029,5;0;0;0;0;0;0,639999985694885;0;0;-0,151999995112419
1;1569,5;0;0;0;245291;0;0;1,39999997615814;0;441943,5;0,0880000069737434
1;201,666702270508;110932,703125;0;320663;0;555673;0;0,170000001788139;0;0;-0,141000002622604
1;876;0;0;0;298392;0;0;5,15000009536743;0;0;0,0109999999403954
1;1211;1e+06;0;0;0;39081;0;2,98000001907349;713954;0;-0,025000000372529
